repo,stars,releases,age_years,files,code,comment,n_classes,cbo_mean,cbo_median,cbo_std,dit_mean,dit_median,dit_std,lcom_mean,lcom_median,lcom_std
kekingcn/kkFileView,13280,16,7.724942,77,10221,1295,82,6.939024,5.0,5.953208,1.04878,1.0,0.216734,167.280488,1.0,1205.542235
projectlombok/lombok,13255,0,16.235997,1887,99662,18610,0,,,,,,,,,
macrozheng/mall-learning,13247,0,6.394157,224,13807,2192,249,4.971888,3.0,4.524487,1.104418,1.0,0.306418,229.51004,0.0,1250.418376
youth5201314/banner,13038,0,9.365581,56,3186,564,73,6.082192,5.0,6.157095,1.835616,2.0,0.687461,47.684932,1.0,350.898762
pxb1988/dex2jar,12888,8,10.46855,318,36699,6301,571,5.429072,3.0,6.850519,1.570928,1.0,0.98219,21.1331,0.0,136.51385
ashishps1/awesome-leetcode-resources,12780,0,1.858855,8,371,69,11,1.181818,1.0,0.40452,1.0,1.0,0.0,4.727273,0.0,8.25943
Netflix/conductor,12775,319,8.736677,516,64500,13547,664,7.498494,5.0,8.250234,1.254518,1.0,0.56278,78.674699,0.0,646.67328
facebook/stetho,12709,13,10.612133,258,18460,3889,588,4.379252,3.0,5.372405,1.423469,1.0,1.248888,7.496599,0.0,31.248059
codecentric/spring-boot-admin,12672,136,11.108929,358,20642,6871,464,7.762931,6.0,6.267597,1.256466,1.0,0.592393,7.213362,0.0,27.793743
google/guice,12664,19,11.266394,631,78841,21471,3880,3.803351,2.5,5.412858,1.304124,1.0,1.250639,8.454381,0.0,77.778083
alibaba/COLA,12631,11,7.571384,266,8394,1509,559,4.329159,3.0,4.515095,1.32737,1.0,0.714784,4.974955,0.0,18.320311
greenrobot/greenDAO,12630,8,13.86542,241,18916,4604,364,5.019231,4.0,4.693018,2.101648,1.0,1.716264,47.453297,1.0,241.283427
Netflix/eureka,12617,151,13.103598,408,35816,10540,742,5.884097,4.0,6.438543,1.270889,1.0,0.705245,18.572776,0.0,134.516235
apache/zookeeper,12587,0,16.436325,958,125404,42162,1753,5.67142,3.0,7.093904,2.005134,1.0,3.005983,36.875642,0.0,390.008242
macrozheng/mall-swarm,12586,3,5.773397,533,66247,4352,764,3.787958,3.0,4.729879,1.231675,1.0,0.434419,1106.229058,13.0,8134.410503
zhihu/Matisse,12569,15,8.391399,48,4177,1130,76,6.657895,5.0,7.383861,1.394737,1.0,0.634118,8.078947,0.0,16.138371
